doc_id,filing_datetime,doc_type_name,filer_name,filer_name_en,ticker,fiscal_year_end,accounting_standard,net_sales,operating_income,net_income,assets,liabilities,equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,roe,equity_ratio
S100X9IP,2026-01-05 09:06:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-08,Japan GAAP,,4087900513.0,4087900513,,,,,,,,
S100X9Q2,2026-01-05 09:08:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,1397.T,2025-10-08,Japan GAAP,,64342022000.0,64342022000,,,,,,,,
S100X9Q4,2026-01-05 09:11:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,2557.T,2025-10-08,Japan GAAP,,22337130342.0,22337130342,,,,,,,,
S100XDDT,2026-01-05 09:11:00,Securities Report,ニッセイアセットマネジメント株式会社,Nissay Asset Management Corporation,,2025-10-06,Japan GAAP,,2211299273.0,2211299273,,,,,,,,
S100X66Q,2026-01-05 09:14:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2025-10-06,Japan GAAP,,11673919.0,11673919,,,,,,,,
S100XDNQ,2026-01-05 16:00:00,Securities Report,株式会社Ｍ＆Ａ総研ホールディングス,,9552.T,2025-09-30,IFRS,16602585000.0,4778240000.0,2894372000,,,,976596000.0,-351204000.0,-6682913000.0,0.405,0.722
S100XE31,2026-01-05 16:43:00,Securities Report,株式会社アルファクス・フード・システム,,,2025-09-30,Japan GAAP,1170516000.0,-83844000.0,-106529000,,,,89090000.0,-133327000.0,-85180000.0,,-0.343
S100XB0G,2026-01-06 09:00:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-06,Japan GAAP,,735427796.0,735427796,,,,,,,,
S100XAZJ,2026-01-06 09:00:00,Securities Report,ＳＯＭＰＯアセットマネジメント株式会社,SOMPO Asset Management Co.,,2025-10-07,Japan GAAP,,132344307.0,132344307,,,,,,,,
S100X8GX,2026-01-06 09:07:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2025-10-07,Japan GAAP,,1894928569.0,1894928569,,,,,,,,
S100WZT8,2026-01-06 09:17:00,Securities Report,ＳＢＩ岡三アセットマネジメント株式会社,SBI Okasan Asset Management Co.,,2025-10-07,Japan GAAP,,3154634314.0,3154634314,,,,,,,,
S100X888,2026-01-06 09:20:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2025-10-07,Japan GAAP,,9610563270.0,9610563270,,,,,,,,
S100XC8G,2026-01-07 09:01:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2025-10-14,Japan GAAP,,1386576936.0,1386576936,,,,,,,,
S100X9SZ,2026-01-07 09:01:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-10,Japan GAAP,,737876904.0,737876904,,,,,,,,
S100XC8O,2026-01-07 09:03:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2025-10-14,Japan GAAP,,1597028673.0,1597028673,,,,,,,,
S100X7A4,2026-01-07 09:03:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-10,Japan GAAP,,11275029784.0,11275029784,,,,,,,,
S100XBEI,2026-01-07 09:03:00,Securities Report,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,2025-10-07,Japan GAAP,,17867471078.0,17867471078,,,,,,,,
S100XA2C,2026-01-07 09:04:00,Securities Report,ＳＯＭＰＯアセットマネジメント株式会社,SOMPO Asset Management Co.,,2025-10-08,Japan GAAP,,7840065289.0,7840065289,,,,,,,,
S100XC8Y,2026-01-07 09:06:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2025-10-14,Japan GAAP,,108599311.0,108599311,,,,,,,,
S100XC94,2026-01-07 09:08:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2025-10-14,Japan GAAP,,8197481.0,8197481,,,,,,,,
S100XA3A,2026-01-07 09:09:00,Securities Report,ＳＯＭＰＯアセットマネジメント株式会社,SOMPO Asset Management Co.,,2025-10-08,Japan GAAP,,927707860.0,927707860,,,,,,,,
S100XB95,2026-01-07 09:13:00,Securities Report,ドイチェ・アセット・マネジメント株式会社,DEUTSCHE ASSET MANAGEMENT CO.,,2025-10-07,Japan GAAP,,4810345.0,4810345,,,,,,,,
S100X7E9,2026-01-07 09:15:00,Securities Report,ＳＯＭＰＯアセットマネジメント株式会社,SOMPO Asset Management Co.,,2025-10-08,Japan GAAP,,132006163.0,132006163,,,,,,,,
S100X8H0,2026-01-07 09:20:00,Securities Report,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,2025-10-08,Japan GAAP,,520446280.0,520446280,,,,,,,,
S100XCQ1,2026-01-07 09:20:00,Securities Report,ＳＯＭＰＯアセットマネジメント株式会社,SOMPO Asset Management Co.,,2025-10-08,Japan GAAP,,1576816332.0,1576816332,,,,,,,,
S100XAYI,2026-01-07 09:31:00,Securities Report,ドイチェ・アセット・マネジメント株式会社,DEUTSCHE ASSET MANAGEMENT CO.,,2025-10-07,Japan GAAP,,181811606.0,181811606,,,,,,,,
S100XAB1,2026-01-08 09:00:00,Securities Report,アムンディ・ジャパン株式会社,,,2025-10-08,Japan GAAP,,92727184.0,92727184,,,,,,,,
S100XC96,2026-01-08 09:01:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2025-10-15,Japan GAAP,,265411023.0,265411023,,,,,,,,
S100XANG,2026-01-08 09:03:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-15,Japan GAAP,,-579948145.0,-579948145,,,,,,,,
S100XC9A,2026-01-08 09:03:00,Securities Report,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,2025-10-15,Japan GAAP,,8539958327.0,8539958327,,,,,,,,
S100XAB3,2026-01-08 09:04:00,Securities Report,アムンディ・ジャパン株式会社,,,2025-10-08,Japan GAAP,,48538615.0,48538615,,,,,,,,
S100WYI2,2026-01-08 09:10:00,Securities Report,ＳＢＩ岡三アセットマネジメント株式会社,SBI Okasan Asset Management Co.,,2025-10-09,Japan GAAP,,383593919.0,383593919,,,,,,,,
S100X9IO,2026-01-08 09:13:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-15,Japan GAAP,,343214309.0,343214309,,,,,,,,
S100XANA,2026-01-08 09:14:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-15,Japan GAAP,,8059551.0,8059551,,,,,,,,
S100XAJO,2026-01-08 09:15:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-15,Japan GAAP,,-1150125233.0,-1150125233,,,,,,,,
S100XAGU,2026-01-08 09:16:00,Securities Report,三井住友ＤＳアセットマネジメント株式会社,,,2025-10-14,Japan GAAP,,69354785.0,69354785,,,,,,,,
