doc_id,filing_datetime,doc_type_name,doc_type_code_used,filer_name,filer_name_en,ticker,fiscal_year_end,accounting_standard,net_sales,operating_income,net_income,assets,liabilities,equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,roe,equity_ratio
S100X6SL,2026-01-05 09:35:00,Semi-Annual Report,160,三菱ＵＦＪアセットマネジメント株式会社,Mitsubishi UFJ Asset Management Co.,,,,,6953030.0,,,,,,,,,
S100XCYV,2026-01-05 10:03:00,Semi-Annual Report,160,コーセル株式会社,,,,,,634000000.0,,,,,,,,,
S100XE4A,2026-01-05 16:34:00,Semi-Annual Report,160,株式会社アルファクス・フード・システム,,,,,,120397000.0,,,,,,,,,
S100X2J1,2025-11-14 10:22:00,Semi-Annual Report,160,株式会社Ｍｉｓｕｍｉ,,,,,,39000000.0,,,,,,,,,
S100XBNF,2026-01-07 09:03:00,Semi-Annual Report,160,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,,,,36511437.0,,,,,,,,,
S100XAMT,2026-01-07 09:05:00,Semi-Annual Report,160,三井住友ＤＳアセットマネジメント株式会社,,,,,,32471272.0,,,,,,,,,
S100X58I,2026-01-07 09:06:00,Semi-Annual Report,160,ＵＢＳアセット・マネジメント株式会社,UBS Asset Management (Japan) Ltd.,,,,,-1094925.0,,,,,,,,,
S100XBNP,2026-01-07 09:07:00,Semi-Annual Report,160,三井住友トラスト・アセットマネジメント株式会社,Sumitomo Mitsui Trust Asset Management Co.,,,,,8265160.0,,,,,,,,,
S100X7J6,2026-01-07 09:07:00,Semi-Annual Report,160,三井住友ＤＳアセットマネジメント株式会社,,,,,,-748775426.0,,,,,,,,,
S100X9TK,2026-01-07 09:26:00,Semi-Annual Report,160,ＳＯＭＰＯアセットマネジメント株式会社,SOMPO Asset Management Co.,,,,,28599997.0,,,,,,,,,
S100X7JN,2026-01-08 09:01:00,Semi-Annual Report,160,三井住友ＤＳアセットマネジメント株式会社,,,,,,26785525.0,,,,,,,,,
S100X52F,2026-01-08 09:03:00,Semi-Annual Report,160,三井住友ＤＳアセットマネジメント株式会社,,,,,,40840743.0,,,,,,,,,
S100X7A8,2026-01-08 09:05:00,Semi-Annual Report,160,三井住友ＤＳアセットマネジメント株式会社,,,,,,23589019.0,,,,,,,,,
S100XB1K,2026-01-08 09:06:00,Semi-Annual Report,160,三井住友ＤＳアセットマネジメント株式会社,,,,,,97780490.0,,,,,,,,,
S100XC9E,2026-01-08 09:06:00,Semi-Annual Report,160,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,,,,20502345.0,,,,,,,,,
S100X9IZ,2026-01-08 09:07:00,Semi-Annual Report,160,三井住友ＤＳアセットマネジメント株式会社,,,,,,516520.0,,,,,,,,,
S100X9TC,2026-01-08 09:08:00,Semi-Annual Report,160,三井住友ＤＳアセットマネジメント株式会社,,,,,,888365776.0,,,,,,,,,
S100XC9I,2026-01-08 09:08:00,Semi-Annual Report,160,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,,,,3605627.0,,,,,,,,,
S100X9J4,2026-01-08 09:09:00,Semi-Annual Report,160,三井住友ＤＳアセットマネジメント株式会社,,,,,,1297599.0,,,,,,,,,
S100XANQ,2026-01-08 09:10:00,Semi-Annual Report,160,三井住友ＤＳアセットマネジメント株式会社,,,,,,-113493699.0,,,,,,,,,
S100XD79,2026-01-08 09:10:00,Semi-Annual Report,160,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,,,,-1313683414.0,,,,,,,,,
S100X7JF,2026-01-08 09:11:00,Semi-Annual Report,160,三井住友ＤＳアセットマネジメント株式会社,,,,,,7218242.0,,,,,,,,,
S100XEHG,2026-01-08 16:00:00,Semi-Annual Report,160,三協立山株式会社,,,,,,1780000000.0,,,,,,,,,
S100X9BL,2026-01-09 09:00:00,Semi-Annual Report,160,Ｔ＆Ｄアセットマネジメント株式会社,,,,,,-255107715.0,,,,,,,,,
S100X7NX,2026-01-09 09:01:00,Semi-Annual Report,160,明治安田アセットマネジメント株式会社,Meiji Yasuda Asset Management Company Ltd.,,,,,-45173152.0,,,,,,,,,
S100XEUZ,2026-01-09 09:01:00,Semi-Annual Report,160,アウンコンサルティング株式会社,,,,,,-31258000.0,,,,,,,,,
S100X8VM,2026-01-09 09:01:00,Semi-Annual Report,160,ピクテ・ジャパン株式会社,,,,,,4712729363.0,,,,,,,,,
S100XDI0,2026-01-09 09:04:00,Semi-Annual Report,160,アセットマネジメントＯｎｅ株式会社,,,,,,49502802.0,,,,,,,,,
S100XDJY,2026-01-09 09:05:00,Semi-Annual Report,160,アセットマネジメントＯｎｅ株式会社,,,,,,232987504.0,,,,,,,,,
S100X8XE,2026-01-09 09:07:00,Semi-Annual Report,160,ピクテ・ジャパン株式会社,,,,,,275872046.0,,,,,,,,,
S100XCEU,2026-01-09 09:09:00,Semi-Annual Report,160,大和アセットマネジメント株式会社,Daiwa Asset Management Co.,,,,,273284772.0,,,,,,,,,
S100XDHS,2026-01-09 09:17:00,Semi-Annual Report,160,レオス・キャピタルワークス株式会社,,,,,,-86430568.0,,,,,,,,,
S100X9MG,2026-01-09 09:18:00,Semi-Annual Report,160,Ｔ＆Ｄアセットマネジメント株式会社,,,,,,-62132859.0,,,,,,,,,
S100XCDN,2026-01-09 09:18:00,Semi-Annual Report,160,ＳＢＩアセットマネジメント株式会社,SBI Asset Management Co.,,,,,-226505079.0,,,,,,,,,
S100XDJ5,2026-01-09 09:24:00,Semi-Annual Report,160,レオス・キャピタルワークス株式会社,,,,,,-37232010.0,,,,,,,,,
S100XEKD,2026-01-09 09:30:00,Semi-Annual Report,160,株式会社ドーン,,,,,,191593000.0,,,,,,,,,
S100X89J,2026-01-09 09:31:00,Semi-Annual Report,160,明治安田アセットマネジメント株式会社,Meiji Yasuda Asset Management Company Ltd.,,,,,6210848.0,,,,,,,,,
S100XEX2,2026-01-09 09:42:00,Semi-Annual Report,160,ＪＰモルガン・アセット・マネジメント株式会社,JPMORGAN ASSET MANAGEMENT CO.,,,,,20494991.0,,,,,,,,,
S100XEVL,2026-01-09 10:40:00,Semi-Annual Report,160,株式会社ウェザーニューズ,,,,,,1676718000.0,,,,,,,,,
